41562,41618,120,686,299,Terminated,1,1,1.5,0.29,,
41561,41619,120,686,1279,Terminated,1,1,0.89,0.28,,
41562,41617,120,686,828,Terminated,1,1,0.94,0.29,,
41561,41617,120,686,95,Terminated,1,1,1,0.31,,
41560,41616,120,686,1295,Terminated,1,1,1.01,0.3,,
41558,42163,120,686,879,Terminated,1,1,1.04,0.85,,
41561,41617,120,686,752,Terminated,1,1,1,0.28,,
41562,41618,121,687,299,Terminated,1,1,1.5,0.29,,
41561,41619,121,687,1279,Terminated,1,1,0.89,0.28,,
41562,41617,121,687,828,Terminated,1,1,0.94,0.29,,
41561,41617,121,687,95,Terminated,1,1,1,0.31,,
41557,41610,121,687,545,Terminated,1,1,1.37,0.29,,
41560,41619,121,687,831,Terminated,1,1,0.84,0.37,,
41561,41616,121,687,1169,Terminated,1,1,0.89,0.32,,
41561,41616,121,687,678,Terminated,1,1,0.96,0.3,,
